,Topic,Count,Name,Representation,Representative_Docs
91,90,12,90_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['short fat yellow bananas also known as ""Vietnamese bananas""', 'long yellow bananas', 'short fat yellow bananas']"
92,91,12,91_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to show teeth ', 'teeth', 'to show teeth']"
93,92,12,92_sticky_smooth_bumpy_rough,"['sticky', 'smooth', 'bumpy', 'rough', 'smoothsurfaced', 'flight', 'shaving', 'roughsurfaced', 'surface', 'slippery']","['of fish not to be sticky', 'sticky', 'sticky']"
94,93,12,93_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to be sober from drinking', 'to suck in, to drink, to smoke; in Kontum used for drinking water, in others only for drinking wine', 'to be sober (after being drunk), to be well after being sick, to be talkative and friendly']"
95,94,12,94_middle_behind_top_beneath,"['middle', 'behind', 'top', 'beneath', 'zenith', 'above', 'back', 'under', 'front', 'between']","['in between, in the middle ', 'in the middle', 'in the middle']"
96,95,12,95_language___,"['language', '', '', '', '', '', '', '', '', '']","['to salt, pepper', 'red pepper', 'small red pepper that is very hot']"
97,96,12,96_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['white squash-like vegetable ', 'describes food that is oily and smooth as peanut butter, pounded squash seeds', 'squash-like vegetable insides can be used as brush or sponge ']"
98,97,12,97_dark_darkfarther_darknearer_stuffy,"['dark', 'darkfarther', 'darknearer', 'stuffy', 'see', 'become', 'feel', 'thick', 'unable', 'cant']","['to feel for something in the dark--nearer', 'to be very dark', 'very dark']"
99,98,12,98_yes_negative_affirmative_certainly,"['yes', 'negative', 'affirmative', 'certainly', 'not', 'no', 'true', 'quite', 'marker', 'really']","['yes ', 'yes ', 'yes ']"
100,99,12,99_smell_bad_smelly_stink,"['smell', 'bad', 'smelly', 'stink', 'fragrant', 'backache', 'nice', 'mess', 'permeate', 'rotten']","['white, clean, no smell ', 'bad smell of old meat', 'bad smell']"
101,100,11,100_happy_lucky_fortunate_relieved,"['happy', 'lucky', 'fortunate', 'relieved', 'worries', 'turns', 'happygolucky', 'mystical', 'authority', 'pleasant']","['to be happy', 'happy ', 'happy']"
102,101,11,101_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['jump', 'to jump', 'to jump']"
103,102,11,102_place_put_where_prepare,"['place', 'put', 'where', 'prepare', 'right', 'away', 'which', 'at', 'on', 'the']","['place', 'to place, put', 'to put, place ']"
104,103,11,103_language___,"['language', '', '', '', '', '', '', '', '', '']","['simple form of eight', 'shortened form of word for seven ', 'simple form of five']"
105,104,11,104_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['not be able to sleep sit down ', 'to sleep lightly, to shut eyes but not really sleep', ""to speak in one's sleep""]"
106,105,10,105_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['the feeling one gets on his bare feet when walking over pebbly ground', 'to walk go ', 'to walk']"
