,Topic,Count,Name,Representation,Representative_Docs
87,86,14,86_strong_weak_active_thinin,"['strong', 'weak', 'active', 'thinin', 'bodily', 'strongbodied', 'failing', 'health', 'lasting', 'muscular']","['to be weak', 'strong', 'strong']"
88,87,14,87_carry_shoulder_carrying_hold,"['carry', 'shoulder', 'carrying', 'hold', 'on', 'back', 'warmth', 'shoulders', 'holster', 'rocking']","['to carry by pole on shoulder', 'to carry on back', 'to carry on the shoulder ']"
89,88,14,88_divide_split_part_portion,"['divide', 'split', 'part', 'portion', 'distribute', 'partition', 'ways', 'groups', 'division', 'chapter']","['to divide up', 'to divide, distribute', 'to divide up and give, distribute']"
90,89,13,89_profit_value_buy_expensive,"['profit', 'value', 'buy', 'expensive', 'sell', 'spent', 'trade', 'cheap', 'condition', 'sold']","['profit, gain', 'profit, value  ', 'no profit or value in ']"
91,90,13,90_hand_reach_hands_lines,"['hand', 'reach', 'hands', 'lines', 'beckon', 'knuckle', 'signal', 'divine', 'slap', 'handspan']","['to reach as with hand', 'hand', 'to beckon, call by hand, give signal by hand or head']"
92,91,13,91_bananas_banana_yellow_fat,"['bananas', 'banana', 'yellow', 'fat', 'stalk', 'long', 'short', 'tubers', 'overcooked', 'fastened']","['short fat yellow bananas', 'short fat yellow bananas also known as ""Vietnamese bananas""', 'long yellow bananas']"
93,92,13,92_time_period_short_minute,"['time', 'period', 'short', 'minute', 'clock', 'occurrence', 'space', 'spare', 'plenty', 'times']","['time', 'short period of time', 'time, short period of time']"
94,93,13,93_metal_aluminum_melt_metals,"['metal', 'aluminum', 'melt', 'metals', 'disintegrate', 'iron', 'solder', 'graphite', 'dissolve', 'steel']","['to dissolve, melt, disintegrate ', 'metal, iron, steel ', 'of metals to melt']"
95,94,12,94_different_strange_new_recent,"['different', 'strange', 'new', 'recent', 'performed', 'peculiar', 'usual', 'ordinary', 'just', 'same']","['different ', 'different, strange ', 'different, new']"
96,95,12,95_sprinkle_sprout_blister_scatter,"['sprinkle', 'sprout', 'blister', 'scatter', 'spool', 'clod', 'sputum', 'spongy', 'splash', 'springy']","['to sprinkle, splash water on', 'to sprinkle ', 'to sprinkle']"
97,96,12,96_gongs_gong_set_beat,"['gongs', 'gong', 'set', 'beat', 'march', 'smallest', 'chng', 'drums', 'classifier', 'large']","['small gongs', 'large gongs', 'large gongs']"
98,97,12,97_dark_darkfarther_darknearer_stuffy,"['dark', 'darkfarther', 'darknearer', 'stuffy', 'see', 'become', 'feel', 'thick', 'unable', 'cant']","['to feel for something in the dark--nearer', 'to be very dark', 'very dark']"
99,98,11,98_drink_sober_drunk_potions,"['drink', 'sober', 'drunk', 'potions', 'drips', 'juices', 'being', 'after', 'coffee', 'remain']","['to drink', 'to be sober', 'to be sober (after being drunk), to be well after being sick, to be talkative and friendly']"
100,99,11,99_roll_unroll_ball_fall,"['roll', 'unroll', 'ball', 'fall', 'up', 'rolled', 'curl', 'mat', 'bunch', 'rock']","['to roll', 'to roll up in', 'to roll up']"
101,100,11,100_jackfruit_cabbage_vegetables_seeds,"['jackfruit', 'cabbage', 'vegetables', 'seeds', 'fruits', 'pechay', 'peanut', 'oily', 'lettuce', 'butter']","['type of hard jackfruit', 'cooked seeds e.g. of jackfruit', 'describes food that is oily and smooth as peanut butter, pounded squash seeds']"
102,101,11,101_smell_smelly_bad_fumes,"['smell', 'smelly', 'bad', 'fumes', 'nice', 'stink', 'fragrant', 'mess', 'permeate', 'odor']","['white, clean, no smell ', 'bad smell of old meat', 'bad smell']"
103,102,11,102_praise_greet_bow_thank,"['praise', 'greet', 'bow', 'thank', 'worship', 'salute', 'report', 'catholics', 'christian', 'famous']","['to praise, be amazed at', 'to praise ', 'to praise']"
104,103,11,103_necklace_chain_bracelet_earrings,"['necklace', 'chain', 'bracelet', 'earrings', 'put', 'ringtype', 'jewels', 'beads', 'stones', 'ring']","['chain', 'chain necklace', 'chain']"
105,104,11,104_throw_out_preceded_away,"['throw', 'out', 'preceded', 'away', 'trip', 'carried', 'drop', 'especially', 'spread', 'purpose']","['to throw out a net, to throw over shoulder', 'to throw', 'to throw out']"
106,105,10,105_help_encourage_useful_save,"['help', 'encourage', 'useful', 'save', 'comfort', 'although', 'console', 'serve', 'doesnt', 'rescue']","['to help, save, rescue ', 'to help ', 'to help']"
