X,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Keys
1925,often,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,"krô, krô krô"
1926,back basket with the opening on the side rather than at the top used to carry belongings,21,21_basket_tree_hut_sword,"['basket', 'tree', 'hut', 'sword', 'centipede', 'calf', 'rod', 'trees', 'back', 'trunk']","['the top part of a tree; the ending of a story (as opposed to trunk of tree or in abstract form beginning) ', 'small back basket ', 'small back basket']",basket - tree - hut - sword - centipede - calf - rod - trees - back - trunk,FALSE,krôh
1927,orange,39,39_white_black_red_dark,"['white', 'black', 'red', 'dark', 'color', 'dust', 'reddish', 'complexion', 'ruddy', 'very']","['very black, dirty black', 'color combination of having small spots of black and white', 'very black, dirty black ']",white - black - red - dark - color - dust - reddish - complexion - ruddy - very,FALSE,krôǐ
1928,"up and down, mountainous",16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,krông krang
1929,noise of one person crying,49,49_noise_loud_crying_sound,"['noise', 'loud', 'crying', 'sound', 'of', 'drowning', 'bubbling', 'ghost', 'noisy', 'person']","['noise of person crying; noise of blowing on something ', 'loud noise', 'loud noise ']",noise - loud - crying - sound - of - drowning - bubbling - ghost - noisy - person,FALSE,krônh krônh
1930,noise of loud prolonged crying,49,49_noise_loud_crying_sound,"['noise', 'loud', 'crying', 'sound', 'of', 'drowning', 'bubbling', 'ghost', 'noisy', 'person']","['noise of person crying; noise of blowing on something ', 'loud noise', 'loud noise ']",noise - loud - crying - sound - of - drowning - bubbling - ghost - noisy - person,FALSE,krônh kranh
1931,to embrace to warm baby by holding,36,36_throw_shake_feel_choke,"['throw', 'shake', 'feel', 'choke', 'suck', 'touch', 'to', 'when', 'mouth', 'dive']","['to throw', 'to throw out', 'may also have the idea of throw away especially when preceded by words meaning to throw out ']",throw - shake - feel - choke - suck - touch - to - when - mouth - dive,FALSE,krôp
1932,"the noise of someone teeth being cut, filed ",44,44_noise_sound_something_falling,"['noise', 'sound', 'something', 'falling', 'ground', 'of', 'shaking', 'hitting', 'describe', 'on']","['noise of pulling something large on ground', 'noise and movement of something large falling', 'noise of something large falling']",noise - sound - something - falling - ground - of - shaking - hitting - describe - on,FALSE,krơt krơt
1933,the noise of something rubbing together,44,44_noise_sound_something_falling,"['noise', 'sound', 'something', 'falling', 'ground', 'of', 'shaking', 'hitting', 'describe', 'on']","['noise of pulling something large on ground', 'noise and movement of something large falling', 'noise of something large falling']",noise - sound - something - falling - ground - of - shaking - hitting - describe - on,FALSE,krỡ
1934,"to describe the pain of fish bone in throat, thorn in foot",45,45_roar_describe_animal_noise,"['roar', 'describe', 'animal', 'noise', 'of', 'tiger', 'ears', 'bird', 'the', 'wings']","['to describe the flapping of the wings of many birds ', 'the sound of the roar of the elephant', 'sound of roar of tiger']",roar - describe - animal - noise - of - tiger - ears - bird - the - wings,FALSE,krỡk krỡk
1935,to designate taking or stealing something,22,22_do_obey_someone_make,"['do', 'obey', 'someone', 'make', 'want', 'give', 'to', 'along', 'take', 'something']","[""to want to do something one can't"", 'to make to obey ', 'to not want to do']",do - obey - someone - make - want - give - to - along - take - something,FALSE,kruih
1936,noise of someone eating fruit,48,48_smell_smelly_sickness_eating,"['smell', 'smelly', 'sickness', 'eating', 'lymph', 'glands', 'pounding', 'noise', 'fever', 'body']","['bad smell of old meat', 'bad, dirty, smelly', 'bad smell']",smell - smelly - sickness - eating - lymph - glands - pounding - noise - fever - body,FALSE,kruǐ kruǐ
1937,noise of adult or animal drinking,45,45_roar_describe_animal_noise,"['roar', 'describe', 'animal', 'noise', 'of', 'tiger', 'ears', 'bird', 'the', 'wings']","['to describe the flapping of the wings of many birds ', 'the sound of the roar of the elephant', 'sound of roar of tiger']",roar - describe - animal - noise - of - tiger - ears - bird - the - wings,FALSE,krŭk krŭk
1938,expression used when one wants to give all his strength to something at one moment,34,34_someone_caught_going_crush,"['someone', 'caught', 'going', 'crush', 'hit', 'something', 'by', 'upon', 'to', 'hand']","['to crush, press down with hand ', 'to raise arm holding something ready to hit someone or something', 'to hold or push someone head up']",someone - caught - going - crush - hit - something - by - upon - to - hand,FALSE,krưh
1939,"scary, frightening, out of the ordinary",49,49_noise_loud_crying_sound,"['noise', 'loud', 'crying', 'sound', 'of', 'drowning', 'bubbling', 'ghost', 'noisy', 'person']","['noise of person crying; noise of blowing on something ', 'loud noise', 'loud noise ']",noise - loud - crying - sound - of - drowning - bubbling - ghost - noisy - person,FALSE,krưp
1940,"to dig up, scratch around for",47,47_grab_scrape_take_out,"['grab', 'scrape', 'take', 'out', 'put', 'scoop', 'clothes', 'on', 'prepare', 'hands']","['to take out with hands to eat', 'to take down or take apart as a house, to take out of a basket or a cupboard', 'to scrape out of the way, to scrape out and throw away']",grab - scrape - take - out - put - scoop - clothes - on - prepare - hands,FALSE,kuaih
1941,sound of tearing paper,44,44_noise_sound_something_falling,"['noise', 'sound', 'something', 'falling', 'ground', 'of', 'shaking', 'hitting', 'describe', 'on']","['noise of pulling something large on ground', 'noise and movement of something large falling', 'noise of something large falling']",noise - sound - something - falling - ground - of - shaking - hitting - describe - on,FALSE,kuak
1942,"to wind up rope, to put away, to turn handle ",13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,kual
1943,"mandarin, official",4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,kuan
1944,inside part of leg,16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,kuang
1945,to not want to do,22,22_do_obey_someone_make,"['do', 'obey', 'someone', 'make', 'want', 'give', 'to', 'along', 'take', 'something']","[""to want to do something one can't"", 'to make to obey ', 'to not want to do']",do - obey - someone - make - want - give - to - along - take - something,TRUE,kuă
1946,of a dog to bark,42,42_animals_dog_hunting_prey,"['animals', 'dog', 'hunting', 'prey', 'trap', 'by', 'catch', 'animal', 'smelling', 'herd']","['of animals to be with young', 'to be successful in hunting animals', 'to catch animals, trap animals']",animals - dog - hunting - prey - trap - by - catch - animal - smelling - herd,FALSE,kuăl
1947,to hold firmly around the waist,13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,kuăn
1948,"fast, quickly, to get up early",10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,kuăng
1949,to remember well,2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,kuăt
1950,lame,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,kue
1951,a section of the village,3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,kueng
1952,corner of house,16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,kueng
1953,to drill holes,37,37_split_divide_roll_fit,"['split', 'divide', 'roll', 'fit', 'distribute', 'up', 'chain', 'sprout', 'finish', 'to']","['to divide up', 'to split up ', 'to divide up and give, distribute']",split - divide - roll - fit - distribute - up - chain - sprout - finish - to,FALSE,kuer
1954,"to dig out, twist out",18,18_out_up_off_roll,"['out', 'up', 'off', 'roll', 'to', 'cut', 'under', 'break', 'wrap', 'tear']","['to measure piece of land; to level off with stick; to make a mark; to ostracize', 'to roll up, curl up body ', 'to break off easily come out easily']",out - up - off - roll - to - cut - under - break - wrap - tear,FALSE,kuĕk
1955,curve in road,16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,kuĕl
1956,black type of monkey with long legs and arms,5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,FALSE,kuĕnh
1957,to hold fingers as promise or token not to lie,22,22_do_obey_someone_make,"['do', 'obey', 'someone', 'make', 'want', 'give', 'to', 'along', 'take', 'something']","[""to want to do something one can't"", 'to make to obey ', 'to not want to do']",do - obey - someone - make - want - give - to - along - take - something,FALSE,kuĕo
1958,cinnamon,14,14_intensive_wine_delicious_form,"['intensive', 'wine', 'delicious', 'form', 'ripe', 'beautiful', 'cleaned', 'kidneys', 'potions', 'healthy']","['wine', 'type of wine jar which is the most expensive and has a spirit associated with it', 'good beautiful delicious healthy ']",intensive - wine - delicious - form - ripe - beautiful - cleaned - kidneys - potions - healthy,FALSE,kuễ
1959,bark of dog,45,45_roar_describe_animal_noise,"['roar', 'describe', 'animal', 'noise', 'of', 'tiger', 'ears', 'bird', 'the', 'wings']","['to describe the flapping of the wings of many birds ', 'the sound of the roar of the elephant', 'sound of roar of tiger']",roar - describe - animal - noise - of - tiger - ears - bird - the - wings,FALSE,kuh kuh
1960,to describe the way a bird eats,42,42_animals_dog_hunting_prey,"['animals', 'dog', 'hunting', 'prey', 'trap', 'by', 'catch', 'animal', 'smelling', 'herd']","['of animals to be with young', 'to be successful in hunting animals', 'to catch animals, trap animals']",animals - dog - hunting - prey - trap - by - catch - animal - smelling - herd,FALSE,kuǐp
1961,dark colors,39,39_white_black_red_dark,"['white', 'black', 'red', 'dark', 'color', 'dust', 'reddish', 'complexion', 'ruddy', 'very']","['very black, dirty black', 'color combination of having small spots of black and white', 'very black, dirty black ']",white - black - red - dark - color - dust - reddish - complexion - ruddy - very,FALSE,kul
1962,ladder--basically the traditional ladder made of one wedged pole,33,33_weaving_rope_thread_instrument,"['weaving', 'rope', 'thread', 'instrument', 'ladder', 'cut', 'string', 'knife', 'cord', 'in']","['an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving', 'instrument used to keep thread close together in weaving']",weaving - rope - thread - instrument - ladder - cut - string - knife - cord - in,FALSE,"ladder, basically"
1963,ladder with rungs,17,17_crossbow_footprints_arrow_cockeyed,"['crossbow', 'footprints', 'arrow', 'cockeyed', 'length', 'mouse', 'kite', 'spider', 'crosseyed', 'necklace']","['crossbow', 'the length of objects as opposed to their width i.e. the measurement of the length', 'body of crossbow on which arrow is set']",crossbow - footprints - arrow - cockeyed - length - mouse - kite - spider - crosseyed - necklace,FALSE,kung bơbe
1964,expression used in hide-and-go-seek to draw attention to your hiding place,34,34_someone_caught_going_crush,"['someone', 'caught', 'going', 'crush', 'hit', 'something', 'by', 'upon', 'to', 'hand']","['to crush, press down with hand ', 'to raise arm holding something ready to hit someone or something', 'to hold or push someone head up']",someone - caught - going - crush - hit - something - by - upon - to - hand,FALSE,kung kuch
1965,"to beckon, call by hand, give signal by hand or head",34,34_someone_caught_going_crush,"['someone', 'caught', 'going', 'crush', 'hit', 'something', 'by', 'upon', 'to', 'hand']","['to crush, press down with hand ', 'to raise arm holding something ready to hit someone or something', 'to hold or push someone head up']",someone - caught - going - crush - hit - something - by - upon - to - hand,FALSE,kuơch
1966,sound of cloth tearing,44,44_noise_sound_something_falling,"['noise', 'sound', 'something', 'falling', 'ground', 'of', 'shaking', 'hitting', 'describe', 'on']","['noise of pulling something large on ground', 'noise and movement of something large falling', 'noise of something large falling']",noise - sound - something - falling - ground - of - shaking - hitting - describe - on,FALSE,kuơk
1967,"to be lost, people only",2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,kuỡl
1968,large rock,25,25_surfaced_shaped_straw_roof,"['surfaced', 'shaped', 'straw', 'roof', 'large', 'blanket', 'skin', 'gongs', 'type', 'pitch']","['palm-shaped, spoke-shaped as rays of sun at dawn', 'to describe flat-surfaced object in flight', 'to describe flat-surfaced object']",surfaced - shaped - straw - roof - large - blanket - skin - gongs - type - pitch,FALSE,kŭk
1969,to bow head,28,28_fall_head_turn_over,"['fall', 'head', 'turn', 'over', 'down', 'jump', 'back', 'go', 'to', 'move']","['to fall down head over heels', 'to look back, turn head around', 'to turn head']",fall - head - turn - over - down - jump - back - go - to - move,FALSE,kŭp
1970,"Khmer, Cambodians",3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,Kŭr
1971,frog-toad family,5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,FALSE,kưt
1972,large edible frog,40,40_that_type_lives_poisonous,"['that', 'type', 'lives', 'poisonous', 'fish', 'frog', 'edible', 'snake', 'insect', 'is']","['type of snake, worm that lives in water and can burrow easily', 'small frog that lives in the water ', 'a type of bee-like insect that is very small, its honey and offspring are edible']",that - type - lives - poisonous - fish - frog - edible - snake - insect - is,FALSE,kưt kơpô
1973,"a frog with long legs, yellow, edible ",40,40_that_type_lives_poisonous,"['that', 'type', 'lives', 'poisonous', 'fish', 'frog', 'edible', 'snake', 'insect', 'is']","['type of snake, worm that lives in water and can burrow easily', 'small frog that lives in the water ', 'a type of bee-like insect that is very small, its honey and offspring are edible']",that - type - lives - poisonous - fish - frog - edible - snake - insect - is,FALSE,kưt trŏl
1974,like but smaller also edible,30,30_edible_fruit_seed_bananas,"['edible', 'fruit', 'seed', 'bananas', 'corn', 'type', 'yellow', 'like', 'rice', 'vegetables']","['plant that edible seed and leaves the seed pops', 'edible yellow fruit that grows on vines that climb trees', 'type of corn-like plant seed of which is used to make wine and other things ']",edible - fruit - seed - bananas - corn - type - yellow - like - rice - vegetables,FALSE,kưt pôi
1975,an edible frog that noise,40,40_that_type_lives_poisonous,"['that', 'type', 'lives', 'poisonous', 'fish', 'frog', 'edible', 'snake', 'insect', 'is']","['type of snake, worm that lives in water and can burrow easily', 'small frog that lives in the water ', 'a type of bee-like insect that is very small, its honey and offspring are edible']",that - type - lives - poisonous - fish - frog - edible - snake - insect - is,FALSE,kưt tơroi
1976,small yellow edible frog with large cheeks,40,40_that_type_lives_poisonous,"['that', 'type', 'lives', 'poisonous', 'fish', 'frog', 'edible', 'snake', 'insect', 'is']","['type of snake, worm that lives in water and can burrow easily', 'small frog that lives in the water ', 'a type of bee-like insect that is very small, its honey and offspring are edible']",that - type - lives - poisonous - fish - frog - edible - snake - insect - is,FALSE,kưt kĕng
1977,small frog that lives in the water,40,40_that_type_lives_poisonous,"['that', 'type', 'lives', 'poisonous', 'fish', 'frog', 'edible', 'snake', 'insect', 'is']","['type of snake, worm that lives in water and can burrow easily', 'small frog that lives in the water ', 'a type of bee-like insect that is very small, its honey and offspring are edible']",that - type - lives - poisonous - fish - frog - edible - snake - insect - is,TRUE,kưt đak
1978,toad,3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,kưt adrŏk
1979,"keep on doing, do anyway",10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,kữ
1980,"to do with no purpose, uninhibitedly, without reason, to be licentious ",12,12_angry_be_lie_do,"['angry', 'be', 'lie', 'do', 'to', 'speak', 'verb', 'threaten', 'someone', 'for']","['to be angry ', 'to not be angry at', 'to be angry']",angry - be - lie - do - to - speak - verb - threaten - someone - for,FALSE,kữ-kă
1981,emphatic of kữ-kă,14,14_intensive_wine_delicious_form,"['intensive', 'wine', 'delicious', 'form', 'ripe', 'beautiful', 'cleaned', 'kidneys', 'potions', 'healthy']","['wine', 'type of wine jar which is the most expensive and has a spirit associated with it', 'good beautiful delicious healthy ']",intensive - wine - delicious - form - ripe - beautiful - cleaned - kidneys - potions - healthy,FALSE,kơkữ-kơkă
1982,also,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,kữm
1983,expression of desire,2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,la lah
1984,when,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,la-yơ
1985,never,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,ưh kơ la-yơ
1986,scold,8,8_maybe_fault_like_occurs,"['maybe', 'fault', 'like', 'occurs', 'bound', 'emphasis', 'morpheme', 'strong', 'quickly', 'understand']","['(bound morpheme that occurs in tŏl-bơbŏl)', '(bound morpheme that occurs in tơlueng-tơluônh-mônh)', '(bound morpheme that occurs in tơdŭk-tơdăk)']",maybe - fault - like - occurs - bound - emphasis - morpheme - strong - quickly - understand,FALSE,lach
1987,"ever, never ",0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,lah
1988,have (you) ever,2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,hăm lah
1989,(I) have never,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,ưh kơ lah
1990,mound of dirt made from rat digging hole,15,15_bamboo_type_grass_made,"['bamboo', 'type', 'grass', 'made', 'tree', 'used', 'of', 'fish', 'xylophone', 'small']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - type - grass - made - tree - used - of - fish - xylophone - small,FALSE,lai
1991,discolored skin with white flaky skin disease,48,48_smell_smelly_sickness_eating,"['smell', 'smelly', 'sickness', 'eating', 'lymph', 'glands', 'pounding', 'noise', 'fever', 'body']","['bad smell of old meat', 'bad, dirty, smelly', 'bad smell']",smell - smelly - sickness - eating - lymph - glands - pounding - noise - fever - body,FALSE,lak
1992,to untie,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,lang
1993,"Laotian, Laos",3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,Lao
1994,Laotian people,3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,bơngai Lao
1995,to be bored of,2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,lao-lao don
1996,tired,31,31_dark_light_night_morning,"['dark', 'light', 'night', 'morning', 'happened', 'shine', 'fire', 'become', 'really', 'tired']","['to light a fire', 'to light a fire ', 'of sun to be gone down light out and so dark']",dark - light - night - morning - happened - shine - fire - become - really - tired,FALSE,lap
1997,to open,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,lar
1998,flat,16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,lat
1999,flat stone,6,6_large_pile_intensifier_garden,"['large', 'pile', 'intensifier', 'garden', 'stream', 'area', 'flat', 'river', 'cover', 'paper']","['large pile  ', 'a large pile', 'to be wide cover large area']",large - pile - intensifier - garden - stream - area - flat - river - cover - paper,FALSE,lat
2000,"to bring up from throat or spit out of mouth as bad tasting medicine, seeds",46,46_eat_eating_food_drink,"['eat', 'eating', 'food', 'drink', 'drinking', 'spirits', 'bad', 'for', 'appetite', 'hungry']","['to get hungry for when seeing someone else eat', 'to eat slowly, eat a little', 'to eat ']",eat - eating - food - drink - drinking - spirits - bad - for - appetite - hungry,FALSE,lă
2001,in inside,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,lăm
2002,room,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,lăm
2003,third grade,7,7_particle_question_final_marker,"['particle', 'question', 'final', 'marker', 'huh', 'bell', 'strange', 'size', 'sedang', 'tomb']","['huh? question particle', 'final question particle ', 'final question particle']",particle - question - final - marker - huh - bell - strange - size - sedang - tomb,FALSE,lăm pêng
2004,to keep quiet,29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,lăn
2005,to look at,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,lăng
2006,"to be quiet, not argue ",29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,lănh
2007,"to fit, be equal to ",37,37_split_divide_roll_fit,"['split', 'divide', 'roll', 'fit', 'distribute', 'up', 'chain', 'sprout', 'finish', 'to']","['to divide up', 'to split up ', 'to divide up and give, distribute']",split - divide - roll - fit - distribute - up - chain - sprout - finish - to,FALSE,lăp
2008,"to like, want",20,20_want_ask_pay_need,"['want', 'ask', 'pay', 'need', 'be', 'depend', 'desire', 'live', 'money', 'for']","['to want, desire', 'to want, desire', 'to pay to spirits what has been promised or to actually buy something you say you will']",want - ask - pay - need - be - depend - desire - live - money - for,FALSE,lăp don
2009,"often precedes numbers seeming to have the idea of ""that much only"" though in some the idea of ""only"" is missing that time when",0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,lăp
2010,"at that time, when",0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,lăp
2011,"then, therefore ( then in a logical sense not time) ",2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,lei
2012,the same,4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,lei-laǐ
2013,"profit, value  ",4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,lek
